OrderID,OrderDate,PublisherID,Genre,Quantity,UnitPrice,Sales,State,City,Region
BM-02-430321,2024-02-17,Publisher_014,History,7,44.55,311.85,Nevada,Henderson,West
BM-02-443837,2024-02-28,Publisher_045,Sci-Fi,5,16.05,80.25,New York,Syracuse,East
BM-02-495006,2024-02-11,Publisher_016,Fantasy,4,21.78,87.12,Texas,Fort Worth,Central
BM-02-483398,2024-02-11,Publisher_035,History,3,22.82,68.46,Massachusetts,Lowell,East
BM-02-453358,2024-02-01,Publisher_032,Self-Help,4,32.7,130.8,Colorado,Colorado Springs,West
BM-02-424033,2024-02-09,Publisher_045,Sci-Fi,7,5.93,41.51,Illinois,Springfield,Central
BM-02-480283,2024-02-20,Publisher_034,Fiction,1,29.4,29.4,New York,Albany,East
BM-02-441132,2024-02-01,Publisher_007,Fantasy,7,17.49,122.43,Massachusetts,Worcester,East
BM-02-413927,2024-02-07,Publisher_035,Mystery,4,30.79,123.16,New York,New York,East
BM-02-423632,2024-02-23,Publisher_036,Self-Help,3,30.42,91.26,Washington,Tacoma,West
BM-02-446598,2024-02-01,Publisher_057,Sci-Fi,6,9.54,57.24,Colorado,Boulder,West
BM-02-446360,2024-02-25,Publisher_009,Non-Fiction,5,29.47,147.35,Nevada,Henderson,West
BM-02-476151,2024-02-07,Publisher_057,History,2,29.62,59.24,Florida,Tallahassee,South
BM-02-414480,2024-02-22,Publisher_043,Self-Help,3,42.13,126.39,Nevada,Reno,West
BM-02-490861,2024-02-06,Publisher_022,History,6,26.54,159.24,Florida,Tampa,South
BM-02-428262,2024-02-06,Publisher_011,Sci-Fi,5,38.39,191.95,Florida,Miami,South
BM-02-405594,2024-02-24,Publisher_049,Children,2,30.9,61.8,Florida,Tallahassee,South
BM-02-424540,2024-02-28,Publisher_049,Non-Fiction,5,42.72,213.6,New York,Buffalo,East
BM-02-464161,2024-02-01,Publisher_031,Sci-Fi,3,29.0,87.0,Florida,Tampa,South
BM-02-450920,2024-02-12,Publisher_027,Mystery,4,25.14,100.56,Florida,Jacksonville,South
BM-02-439385,2024-02-26,Publisher_013,Fiction,2,19.4,38.8,Nevada,Sparks,West
